卷號,X,Y,上寬,右高,左高,下高,
01_#1.jpg lefttop,117,85,
01_#1.jpg righttop,1536,85,
01_#1.jpg leftdown,117,2253,
01_#1.jpg rightdown,1536,2253,
01_#1.jpg,,,1419,2168,2168,1419,
02_#1.jpg lefttop,117,85,
02_#1.jpg righttop,1536,85,
02_#1.jpg leftdown,117,2253,
02_#1.jpg rightdown,1536,2253,
02_#1.jpg,,,1419,2168,2168,1419,
03_#1.jpg lefttop,117,85,
03_#1.jpg righttop,1536,85,
03_#1.jpg leftdown,117,2253,
03_#1.jpg rightdown,1536,2253,
03_#1.jpg,,,1419,2168,2168,1419,
04_#1.jpg lefttop,117,85,
04_#1.jpg righttop,1536,85,
04_#1.jpg leftdown,117,2253,
04_#1.jpg rightdown,1536,2253,
04_#1.jpg,,,1419,2168,2168,1419,
05_#1.jpg lefttop,117,85,
05_#1.jpg righttop,1536,85,
05_#1.jpg leftdown,117,2253,
05_#1.jpg rightdown,1536,2253,
05_#1.jpg,,,1419,2168,2168,1419,
06_#1.jpg lefttop,117,85,
06_#1.jpg righttop,1536,85,
06_#1.jpg leftdown,117,2253,
06_#1.jpg rightdown,1536,2253,
06_#1.jpg,,,1419,2168,2168,1419,
07_#1.jpg lefttop,117,85,
07_#1.jpg righttop,1536,85,
07_#1.jpg leftdown,117,2253,
07_#1.jpg rightdown,1536,2253,
07_#1.jpg,,,1419,2168,2168,1419,
08_#1.jpg lefttop,117,85,
08_#1.jpg righttop,1536,85,
08_#1.jpg leftdown,117,2253,
08_#1.jpg rightdown,1536,2253,
08_#1.jpg,,,1419,2168,2168,1419,
09_#1.jpg lefttop,117,85,
09_#1.jpg righttop,1536,85,
09_#1.jpg leftdown,117,2253,
09_#1.jpg rightdown,1536,2253,
09_#1.jpg,,,1419,2168,2168,1419,
10_#1.jpg lefttop,117,85,
10_#1.jpg righttop,1536,85,
10_#1.jpg leftdown,117,2253,
10_#1.jpg rightdown,1536,2253,
10_#1.jpg,,,1419,2168,2168,1419,
