卷號,X,Y,上寬,右高,左高,下高,
01_#2.jpg lefttop,1770,85,
01_#2.jpg righttop,3189,85,
01_#2.jpg leftdown,1770,2253,
01_#2.jpg rightdown,3189,2253,
01_#2.jpg,,,1419,2168,2168,1419,
02_#2.jpg lefttop,1770,85,
02_#2.jpg righttop,3189,85,
02_#2.jpg leftdown,1770,2253,
02_#2.jpg rightdown,3189,2253,
02_#2.jpg,,,1419,2168,2168,1419,
03_#2.jpg lefttop,1770,85,
03_#2.jpg righttop,3189,85,
03_#2.jpg leftdown,1770,2253,
03_#2.jpg rightdown,3189,2253,
03_#2.jpg,,,1419,2168,2168,1419,
04_#2.jpg lefttop,1770,85,
04_#2.jpg righttop,3189,85,
04_#2.jpg leftdown,1770,2253,
04_#2.jpg rightdown,3189,2253,
04_#2.jpg,,,1419,2168,2168,1419,
05_#2.jpg lefttop,1770,85,
05_#2.jpg righttop,3189,85,
05_#2.jpg leftdown,1770,2253,
05_#2.jpg rightdown,3189,2253,
05_#2.jpg,,,1419,2168,2168,1419,
06_#2.jpg lefttop,1770,85,
06_#2.jpg righttop,3189,85,
06_#2.jpg leftdown,1770,2253,
06_#2.jpg rightdown,3189,2253,
06_#2.jpg,,,1419,2168,2168,1419,
07_#2.jpg lefttop,1770,85,
07_#2.jpg righttop,3189,85,
07_#2.jpg leftdown,177
